DOI,abstract_num,abstract_text,author_list,author_organisation,citation,clin_trial_registration,meeting,poster_num,research_funding,session_title,session_type,sub_track,title_text,track
,,,,,,,2021 ASCO Annual Meeting,,,"Low Cost, High Value: Key Supportive Care Skills to Improve the Lives of Patients With Cancer Across the Globe",Education Session,,Preventing and Managing Neurologic Complications of Therapy,"Global Health,Value,Care Delivery and Regulatory Policy,Symptoms and Survivorship"
10.1200/JCO.2021.39.15_suppl.8006,8006,"
  ,Background:, Elranatamab (PF-06863135) is a humanized bispecific monoclonal antibody (IgG2a) that targets BCMA, a member of the tumor necrosis factor receptor superfamily expressed in MM, and CD3 on T cells. We reported results for intravenous (IV) dosing (Raje et al. Blood. 2019;134(S1):1869) and now update for subcutaneous (SC) dosing from the ongoing Phase 1 study (MagnetisMM-1). ,Methods:, Patients (pts) received elranatamab at 80, 130, 215, 360, 600, and 1000μg/kg SC weekly. A modified toxicity probability interval method was used for escalation, with monitoring for dose-limiting toxicity (DLT) to end of the first cycle. Treatment-emergent adverse events (TEAEs) were graded by Common Terminology Criteria for Adverse Events (v4.03), and cytokine release syndrome (CRS) by American Society for Transplantation and Cellular Therapy criteria (Lee et al. Biol Blood Marrow Transplant. 2019;25:625). Response was assessed by International Myeloma Working Group criteria. Pharmacokinetics, cytokine profiling, and T cell immunophenotyping were performed. ,Results:, 30 pts had received elranatamab as of 4-Aug-2020 at 80 (n = 6), 130 (n = 4), 215 (n = 4), 360 (n = 4), 600 (n = 6), or 1000 (n = 6) μg/kg SC weekly. Pts had a median of 8 prior treatments; 87% had triple refractory disease, 97% had prior anti-CD38 therapy, and 23% had prior BCMA-directed antibody drug conjugate or chimeric antigen receptor T cell therapy. The most common all causality TEAEs included lymphopenia (n = 24, 80%; 20% G3, 60% G4), CRS (n = 22, 73%; none > G2), anemia (n = 17, 57%; 43% G3, 3% G4), injection site reaction (n = 16, 53%; none > G2), thrombocytopenia (n = 16, 53%; 23% G3, 17% G4), and neutropenia (n = 12, 40%; 17% G3, 17% G4). Both CRS and immune effector cell-associated neurotoxicity syndrome (n = 6, 20%) were limited to ≤G2 with median durations of 2 and 1.5 days, respectively. No DLT was observed. Exposure increased with dose, and T,max, ranged from 3–7 days. Cytokine increases occurred with the first dose, and increased T-cell proliferation was observed in peripheral blood. The overall response rate (ORR) for doses ≥215μg/kg was 75% (n = 15/20) including partial response (PR; n = 6), very good PR (VGPR; n = 3), complete response (CR; n = 1), and stringent CR (sCR; n = 5). Median time to response was 22 days, and 3 of 4 pts (75%) with prior BCMA-directed therapy achieved response (VGPR, n = 2 and sCR, n = 1). Updated data, including duration of response, will be presented. ,Conclusions:, Elranatamab demonstrated a manageable safety profile, and SC doses ≥215μg/kg achieved ORR of 75% with CR/sCR rate of 30%. These results demonstrate the safety and efficacy of SC elranatamab in this relapsed/refractory population and support ongoing development of elranatamab for pts with MM, both as monotherapy and in combination with standard or novel therapies. Clinical trial information: ,NCT03269136","Nizar J. Bahlis, Noopur S. Raje, Caitlin Costello, Bhagirathbhai R. Dholaria, Melhem M. Solh, Moshe Y. Levy, Michael H Tomasson, Harman Dube, Feng Liu, Kai Hsin Liao, Cynthia Basu, Athanasia Skoura, Edward Michael Chan, Suzanne Trudel, Andrzej J. Jakubowiak, Michael P Chu, Cristina Gasparetto, Andrew Dalovisio, Michael Sebag, Alexander M. Lesokhin","Arnie Charbonneau Cancer Institute, University of Calgary, Calgary, AB, Canada, Massachusetts General Hospital, Harvard Medical School, Boston, MA, Moores Cancer Center, University of California San Diego, La Jolla, CA, Vanderbilt-Ingram Cancer Center, Nashville, TN, Blood and Marrow Transplant Group of Georgia, Northside Hospital, Atlanta, GA, Department of Medical Oncology, Baylor Scott and White Health, Dallas, TX, Holden Comprehensive Cancer Center, University of Iowa, Iowa City, IA, Oncology Research and Development, Pfizer, San Diego, CA, Early Clinical Development, Pfizer, San Diego, CA, Oncology Research and Development, Pfizer, Pennsylvania, PA, Oncology Research and Development, Pfizer, South San Francisco, CA, Princess Margaret Cancer Centre, University Health Network, Toronto, ON, Canada, Department of Medicine, University of Chicago Medical Center, Chicago, IL, Cross Cancer Institute, Edmonton, AB, Canada, Department of Medicine, Duke University Cancer Institute, Durham, NC, Department of Hematology and Oncology, Ochsner Health, Jefferson, LA, Cedars Cancer Center, McGill University Health Center, Montreal, QC, Canada, Division of Hematology and Oncology, Memorial Sloan Kettering Cancer Center/Weill Cornell Medical College, New York, NY","J Clin Oncol 39, 2021 (suppl 15; abstr 8006)",NCT03269136,2021 ASCO Annual Meeting,,Pfizer,Hematologic Malignancies—Plasma Cell Dyscrasia,Oral Abstract Session,Hematologic Malignancies,"Efficacy and safety of elranatamab (PF-06863135), a B-cell maturation antigen (BCMA)-CD3 bispecific antibody, in patients with relapsed or refractory multiple myeloma (MM).",Hematologic Malignancies
10.1200/JCO.2021.39.15_suppl.4557,4557,"
  ,Background:, Metastatic RCC (mRCC) involving the pancreas is distinct from RCC involving other metastatic sites and is characterized by an indolent clinical course, heightened angiogenesis, and an inflamed stroma (PMID: 32271170). We previously reported on outcomes of RCC patients (pts) with pancreatic oligometastasis (ASCO GU 2020). We now report on outcomes in pts with mRCC involving the pancreas in conjunction with other metastases (mets). ,Methods:, We conducted a retrospective, multi-institutional study of mRCC pts with mets to the pancreas and other sites. Data on pt demographics, tumor characteristics, systemic therapy, and outcomes were collected. Pts were classified based on treatment category: immunotherapy (IO) or vascular endothelial growth factor/receptor inhibitors (VEGFI). Outcomes measured included objective response rates (ORR), time-on-treatment (TOT), and overall survival (OS). ,Results:, The analysis included 229 pts from 9 institutions, diagnosed between 1985-2020. Of these, 211 (92%) had clear-cell histology; 131 (57%) had nephrectomy; 41 (18%) had local pancreas-directed therapy; 111 (48%) had synchronous presentation of disease in the pancreas and other sites at time of mets. IMDC risk was favorable in 33%, intermediate in 41%, poor in 11%, and unknown in 15% pts. Median lines of therapy was 2 (range 0-9). Of 219 pts who received first-line (1L) therapy, 151 (69%) had VEGFI therapy, 41 (19%) had IO, and 18 (8%) had VEGFI/IO combination (Table). The IO group included 21 pts on checkpoint inhibitor (CPI), 16 pts on HD-IL2, 4 pts on other IO. 1L ORR was 39.7% for VEGFI (95% CI 31.8-48.0) and 31.7% for IO (95% CI 18.1-48.1) and was not statistically significant (NS, OR 1.4, 95% CI 0.65-3.23, p = 0.371). Median TOT for 1L therapy was 11.6m for VEGFI and 6.5m for IO (p = 0.0106). With a median follow-up of 51.5m, the median OS (mOS) for all pts from time of metastatic disease was 7.7 years (y) (95% CI 6.3-10.3). The mOS for pts who received 1L VEGFI was 7.6y (95% CI 5.5-9.5) and was not reached (NR) for those who got 1L IO (95%CI 6.5-NR); this difference was significant with an unadjusted p-value of 0.029. The pair-wise comparison between mOS of the 1L CPI subgroup compared to that of the 1L VEGFI group was significant (p = 0.0148). ,Conclusions:, Consistent with the literature, mRCC pts with involvement of the pancreas in this study have prolonged OS compared to historical OS for the standard mRCC population. Additionally, our findings suggest that the choice of first-line therapy may impact outcomes. Additional analyses will be presented.,First-Line therapy.","Cassandra Duarte, Benoit Beuselinck, Nicole Weise, Nazli Dizman, Katharine Collier, Haoran Li, Nieves Martinez Chanza, Roy Elias, Tracy L Rose, James Brugarolas, Neeraj Agarwal, Amir Mortazavi, Sumanta K. Pal, Rana R. McKay, Junxiao Hu, Elaine Tat Lam","University of Colorado Denver, Denver, CO, Leuven Cancer Institute, Universitaire Ziekenhuizen, Leuven, Belgium, UC San Diego Moores Cancer Center, La Jolla, CA, City of Hope Comprehensive Cancer Center, Duarte, CA, Division of Medical Oncology, The Ohio State University Wexner Medical Center, Columbus, OH, Tom Baker Cancer Centre, Toronto, ON, Canada, Consorcio Hospital General Universitario de Valencia, Valencia, Spain, University of Texas Southwestern Medical Center, Dallas, TX, The University of North Carolina at Chapel Hill (UNC-CH) School of Medicine and UNC Lineberger Comprehensive Cancer Center, Chapel Hill, NC, The University of Texas Southwestern Medical Center, Dallas, TX, Huntsman Cancer Institute, University of Utah, Salt Lake City, UT, Arthur G. James Cancer Hospital, Ohio State University Wexner Medical Center, Columbus, OH, Department of Medical Oncology & Therapeutics, City of Hope Comprehensive Cancer Center, Duarte, CA, University of California San Diego, Moores Cancer Center, La Jolla, CA, University of Colorado Cancer Center, Aurora, CO, University of Colorado Cancer Center, Anschutz Medical Campus, Aurora, CO","J Clin Oncol 39, 2021 (suppl 15; abstr 4557)",,2021 ASCO Annual Meeting,Online Only,None,Genitourinary Cancer—Kidney and Bladder,Poster Session,Genitourinary Cancer—Kidney and Bladder,Treatment outcomes in renal cell carcinoma patients with metastases to the pancreas and other sites.,Genitourinary Cancer—Kidney and Bladder
10.1200/JCO.2021.39.15_suppl.3556,3556,"
  ,Background:, Immune checkpoint blockade (ICB) has revolutionized patient outcome for the small mCRC subgroup with highly immunogenic disease. The majority of mCRC cases, however, are MSS without innate ICB susceptibility. In our ongoing METIMMOX study, we hypothesize that MSS mCRC can be transformed into an immunogenic condition by short-course oxaliplatin-based therapy (FLOX), enabling patients with unresectable, previously untreated metastases to obtain durable disease control when adding ICB therapy. Here we present the protocol-planned interim analysis. ,Methods:, Eligibility criteria include infradiaphragmatic metastasis and C-reactive protein < 60 mg/L. At analysis 15 January 2021, 54 patients stratified according to primary tumor sidedness and mutational status and evaluable for the primary end point (progression-free survival; PFS) had been randomly assigned to a standard-of-care schedule of 8 FLOX cycles Q2W (control arm) or repeat sequential 2 FLOX cycles and 2 nivolumab cycles (240 mg Q2W) to a total of 8 cycles (experimental arm), for both arms before treatment break until disease progression and reintroduction of a new treatment sequence. Radiologic response assessment is every 8 weeks. Safety, tolerability, objective response rate, and duration of response are among secondary end points. ,Results:, At median follow-up of 6.4 (range, 0.5-20) months, patients were well balanced between the treatment arms with regard to the predefined strata and single-organ or multiple-organ metastases. Median PFS for the entire groups of control and experimental arm patients was 5.6 (range, 0.5-15; ,n, = 26) and 6.6 (range, 0.5-20; ,n, = 28) months, respectively. The number of FLOX-related CTCAE grade 3 or higher adverse events, including 2 deaths after initial FLOX administration, was comparable in the two arms. Twelve immune-related grade 3-4 adverse events (no new safety signals) were recorded. In the experimental arm, 4 (16%) patients, all ,RAS/BRAF,-mutant cases, had experienced complete response and 9 (32%) patients had ongoing objective response at 8 months. The control arm cases had 0 with complete response and 6 (23%) with ongoing objective response at 8 months, 1 of whom had proceeded to curative-intent liver surgery. ,Conclusions:, MSS mCRC patients may hold the opportunity of ICB responsiveness evoked by short-course oxaliplatin-based chemotherapy. The search for predictive biomarkers of ICB responsiveness is ongoing in the specifically designed METIMMOX correlative study program. Clinical trial information: ,NCT03388190","Anne Hansen Ree, Hanne Hamre, Christian Kersten, Eva Hofsli, Marianne Grønlie Guren, Halfdan Sorbye, Christin Johansen, Anne Negård, Kjersti Flatmark, Sebastian Meltzer","Akershus University Hospital, Lorenskog, Norway, Sørlandet Hospital Trust, Kristiansand, Norway, Department of Oncology, St. Olavs Hospital, Trondheim, Norway, Department of Oncology, Oslo University Hospital, Oslo, Norway, Haukeland University Hospital, Bergen, Norway, Oslo University Hospital, Oslo, Norway","J Clin Oncol 39, 2021 (suppl 15; abstr 3556)",NCT03388190,2021 ASCO Annual Meeting,Online Only,"Norwegian Cancer Society Grant 182496, Pharmaceutical/Biotech Company",Gastrointestinal Cancer—Colorectal and Anal,Poster Session,Gastrointestinal Cancer—Colorectal and Anal,Repeat sequential oxaliplatin-based chemotherapy (FLOX) and nivolumab versus FLOX alone as first-line treatment of microsatellite-stable (MSS) metastatic colorectal cancer (mCRC): Initial results from the randomized METIMMOX study.,Gastrointestinal Cancer—Colorectal and Anal
10.1200/JCO.2021.39.15_suppl.8019,8019,"
  ,Background:, Multiple myeloma (MM) typically affects older populations, which are more vulnerable to toxicity with anti-MM treatments. These patients (pts) have significant morbidity and mortality, resulting in a need for dose modifications or alternative suboptimal treatment options. Significant improvements were observed in the BOSTON study with XVd vs Vd in median progression-free survival (PFS), overall response rate (ORR), and rates of peripheral neuropathy (PN); median overall survival (OS) trended in favor of XVd. ,Methods:, The phase 3 randomized BOSTON trial (NCT03110562) is a controlled, open-label study of once weekly XVd vs. twice weekly standard Vd in pts with MM and 1-3 prior treatment regimens. We performed post-hoc analyses to compare survival benefits in pts ≥65 vs < 65 years of age. ,Results:, The BOSTON study enrolled a total of 402 pts between June 2017 and February 2019 that were randomized into XVd or Vd arms. The numbers of pts treated with XVd or Vd who were ≥65 were 109/132 and 86/75 who were < 65, respectively. Baseline characteristics were similar by age although pts ≥65 years were less likely to have received ASCT than those < 65 years (48.4% vs. 25.3%). Median PFS was prolonged with XVd compared with Vd, across both age groups: ≥65 (HR, 0.55 [95% CI, 0.37-0.83] P = 0.002) and < 65, (HR, 0. 74 [95% CI, 0.49-1.11], P = 0.07). Vd was associated with a lower ORR (64.4%) than treatment with XVd (76.1%) (OR, 1.77 [95% CI, 1.00-3.11], P = 0.024) in pts ≥65, while the ORR in those < 65 was 76.7% with XVd and 58.7% (OR, 2.33 [95% CI, 1.18-4.59], P = 0.007) with Vd. As of Jan 2021, the median OS for the overall population was not reached for both arms (HR = 0.86; p = 0.193), with 61 and 75 deaths in the XVd and Vd arms, respectively. Median OS was not reached in pts ≥65 with XVd and was 28.6 months with Vd (HR = 0.60; 95% CI, 0.38-0.94; p = 0.012), while there was no difference in the OS for pts < 65 (HR = 1.52; 95% CI, 0.86-2.68; p = 0.926). Pts ≥65 had a lower incidence of death with XVd as compared to Vd (29 vs 56) and there were 32 deaths with XVd and 19 with Vd in pts < 65. Grade ≥3 treatment-emergent adverse events were not observed more often in older compared to younger pts. Amongst pts ≥65, PN of any grade was lower with XVd (32.1%) compared to Vd (46.5%); (OR 0.57 [95% CI 0.34-0.97], p = 0.017), including a lower incidence of grade ≥3 PN (XVd 4.6% vs. Vd 11.6%). Pts < 65 followed a similar trend of PN AEs of any grade: XVd, 32.6%; Vd, 48.0% (OR 0.42 [95% CI 0.21-0.82], p = 0.006). ,Conclusions:, In an older patient population with a poor prognosis, XVd was associated with a significant survival benefit, improved PFS and OR with reduced PN, and requires relatively short and infrequent clinic visits. XVd may be a simple, effective regimen for pts ≥65 years of age. Clinical trial information: ,NCT03110562","Thierry Facon, Holger W. Auner, Maria Gavriatopoulou, Sosana Delimpasi, Maryana Simonova, Ivan Spicka, Luděk Pour, Meletios A. Dimopoulos, Iryna Kriachok, Halyna Pylypenko, Xavier Leleu, HANG QUACH, Benjamin Reuben, Tuphan Kanti Dolai, Dinesh Kumar Sinha, Mamta Garg, Don A. Stevens, Jatin J. Shah, Paul G. Richardson, Sebastian Grosicki","University of Lille, CHU Lille, Service des Maladies du Sang, Lille, France, Imperial College London, London, United Kingdom, Alexandra Hospital, School of Medicine, National and Kapodistrian University of Athens, Athens, Greece, General Hospital Evangelismos, Athens, Greece, Institute of Blood Pathology & Transfusion Medicine of National Academy of Medical Sciences of Ukraine, Lviv, Ukraine, 1st Internal Clinic–Clinic of Hematology, General University Hospital, Prague, Czech Republic, Fakultní nemocnice Brno, Brno, Czech Republic, Therapeutic Clinic, General Hospital of Athens Alexandra, Athens, Greece, Institute of Oncology AMS Ukraine, Kiev, Ukraine, CE ""Cherkasy Regional Oncology Dispensary"" of Cherkasy Regional Council Regional Treatment and Diagnostic Hematology Center, Cherkasy, Ukraine, Department of Hematology, CHU la Miletrie and Inserm CIC 1402, Poitiers, France, St. Vincent’s Hospital, University of Melbourne, Melbourne, VIC, Australia, Kings College Hospital NHS Foundation Trust, London, United Kingdom, Nil Ratan Sircar Medical College and Hospital, Kolkata, India, State Cancer Institute, Indira Gandhi Institute of Medical Sciences, Patna, India, Haematology, Leicester Royal Infirmary/University Hospitals of Leicester NHS Trust, Leicester, United Kingdom, Louisville Onc, Louisville, KY, Karyopharm Therapeutics Inc., Newton, MA, Dana-Farber Cancer Institute, Boston, MA, Department of Hematology, Independent Public Healthcare Facility Municipal Hospitals, Katowice, Poland","J Clin Oncol 39, 2021 (suppl 15; abstr 8019)",NCT03110562,2021 ASCO Annual Meeting,Online Only,None,Hematologic Malignancies—Plasma Cell Dyscrasia,Poster Discussion Session,Hematologic Malignancies,"Survival among older patients with previously treated multiple myeloma treated with selinexor, bortezomib, and dexamethasone (XVd) in the BOSTON study.",Hematologic Malignancies
10.1200/JCO.2021.39.15_suppl.3613,3613,"
  ,Background:, One-third of colorectal cancer (CRC) recurs following curative surgery and chemotherapy. Accordingly, novel methods are needed to predict recurrence to enable clinical course mitigating strategies. Serial monitoring of plasma by mass spectrometry (MS) and multi-omics modeling (MMO) of CRC relapse chronology provide the framework for liquid biopsy test development to supersede existing imaging modalities such as CT scans according to relapse related pathologies. We hypothesized that plasma MS and MMO analysis of relapse related pathologies can deconvolute high risk stratification for CRC recurrence within the cancer continuum of care pre/post-surgery and/or pre/post adjuvant chemotherapy (ACT). ,Methods:, 189 CRC patients (Stage I-III) underwent one of three treatment modalities: Modality 1 (Surgery followed by ACT), Modality 2 (Surgery only), Modality 3 (Neoadjuvant chemotherapy followed by surgery and ACT). Plasma samples (n = 441) were collected from patients before surgery, 30 days post-op, and every 3 months until death or month 24 whichever came first. The MMO approach was used to analyze biological features encompassing native peptides, proteins, metabolites, lipids, and ceramides. MMO panels were developed comprising the significantly perturbed features as per the treatment modalities. These panels were used to predict relapse from plasma collected pre-op, 30-day post-op or after adjuvant chemotherapy. CEA levels were monitored in parallel. ,Results:, Follow-up data was available for 135 patients (Stage I-III) and 25/135 had evidence of radiological recurrence. Irrespective of the treatment modality, longitudinal follow-up using the MMO panel was able to predict disease recurrence greater than 7 months before clinical progression was confirmed by CT scan. There was no significant correlation between longitudinal CEA levels and recurrence status, hence CEA levels alone did not provide any lead time advantage over the MMO panel or radiological surveillance. Kaplan-Meier (KM) survival analysis revealed that patients that were MMO panel positive had a poor survival irrespective of treatment modalities used: Modality 1 (HR = 6.2, p value = 0.003, test immediately post-surgery and immediately before ACT; HR = 31.6, p value = 0.01, test immediately after ACT); Modality 2 (HR = 11.2; p value = 0.01, test immediately after-surgery); Modality 3 (HR > 40, p value = 0.08, test immediately after neo-ACT and before-surgery; HR > 40, p value = 0.004, test immediately after-surgery). ,Conclusions:, The MMO panel predicts CRC recurrence several months prior to detection by conventional CT scans, thus providing opportunity for alternative therapeutic strategies much earlier in the disease course.","Xuanhui Liu, Yani Zhang, Xiurui Zhu, Sheeno P. Thyparambil, Wei-Li Liao, Xiao-bin Zheng, Jin You, Ashiq Masood, Zhen Li, Gabriel Yang, Xiaoming Yao, Shiying Hao, Robert Heaton, James Schilling, Karl G. Sylvester, Jiayu Liao, Feng Gao, Ping Lan, Xuefeng Ling, Xiaojian Wu","Guangdong Provincial Key Laboratory of Colorectal and Pelvic Floor Diseases, The Sixth Affiliated Hospital of Sun Yat-sen University, Guangzhou, China, mProbe Inc, Rockville, MD 20850, Rockville, MD, University of California, Riverside, Riverside, CA 92521, Riverside, CA, Rush University, Chicago, Stanford University Medical Center, Stanford University, Stanford, Stanford University Medical Center, Stanford University, Stanford, CA, Stanford University Medical Center, Stanford University, Palo Alto, CA, University of California, Riverside, Riverside, CA 92521, Riverside, Department of Colorectal Surgery, The Sixth Affiliated Hospital, Sun Yat-sen University, Guangzhou, China","J Clin Oncol 39, 2021 (suppl 15; abstr 3613)",,2021 ASCO Annual Meeting,Online Only,National Natural Science Foundation of China (No.81972212)，Guangdong Natural Science Foundation of China (No. 2019A1515010063),Gastrointestinal Cancer—Colorectal and Anal,Poster Session,Gastrointestinal Cancer—Colorectal and Anal,Multi-omics longitudinal analyses in stages I to III CRC patients: Surveillance liquid biopsy test to predict early recurrence and enable risk-stratified postoperative CRC management.,Gastrointestinal Cancer—Colorectal and Anal
10.1200/JCO.2021.39.15_suppl.519,519,"
  ,Background:, About one third of patients with hormone-receptor-positive (HR+), HER2‐ primary breast cancer with residual invasive disease after neoadjuvant chemotherapy will relapse despite adjuvant endocrine therapy. Therapeutic inhibition of cyclin-dependent kinase 4 and 6 (CDK 4/6) by palbociclib combined with endocrine therapy demonstrated highly relevant efficacy in metastatic breast cancer. The phase III PENELOPE-B (NCT01864746) study did not show a significant benefit from palbociclib in women with centrally confirmed HR+, HER2- primary breast cancer without a pathological complete response after taxane‐containing neoadjuvant chemotherapy and at high-risk of relapse (CPS‐EG score ≥3 or 2 and ypN+) for the primary endpoint (Loibl et al. JCO 2021). ,Methods:, After completion of neoadjuvant chemotherapy and locoregional therapy, PENELOPE-B patients were randomized (1:1) to receive 13 cycles (1 year) of palbociclib 125mg daily or placebo on days 1-21 in a 28d cycle in addition to standard endocrine therapy. Analysis of the primary endpoint of invasive disease-free survival (iDFS) was planned after 290 events. Secondary objective included iDFS in luminal-B group by treatment. Gene expression in post-neoadjuvant surgical residual tumor tissue samples was profiled using the HTG EdgeSeq Oncology Biomarker Panel targeting 2559 genes (HTG Molecular Diagnostics Inc.). Based on 91 genes of this panel the AIMS subtype (Paquet & Hallett, JNCI 2014) was calculated. ,Results:, Gene expressions were measured in tumors from 906 of 1250 (72%) PENELOPE-B patients; 663 had LumA subtype, 64 LumB, 135 NormL, 16 BasalL, and 28 HER2E. Compared to LumA the LumB patients were older, had higher post-neoadjuvant Ki-67, higher risk status (CPS-EG), and higher grade; no significant correlation was found for the region of participating sites, cT, ypT, and ypN. Patients with LumB tumors had an estimated 3-year iDFS of 71.9% with palbociclib vs 44.8% with placebo HR = 0.50 (0.24-1.05); outcome was similar in patients with LumA tumors (3-year iDFS 83.9% vs 79.5%, HR = 0.93 (0.68-1.28), interaction p = 0.132); this was confirmed in multivariable analyses. Ki-67 by IHC and proliferation biomarkers from the HTG panel also showed no significant interaction with treatment. ,Conclusions:, PENELOPE-B did not show a benefit from the addition of 1 year palbociclib to endocrine therapy compared to placebo in the total enrolled high-risk primary breast cancer population. However, the small group of luminal-B tumors (n = 64) derived benefit from palbociclib, although without a statistically significant interaction. Further investigation is required in a larger cohort to validate a palbociclib benefit that might be confined to this group.","Carsten Denkert, Frederik Marmé, Miguel Martin, Michael Untch, Herve R. Bonnefoi, Agnieszka Katarzyna Witkiewicz, Seock-Ah Im, Angela DeMichele, Laura van 't Veer, Nicole Mc Carthy, Karen A. Gelmon, Nicholas C. Turner, Federico Rojo, Peter A. Fasching, Julia Teply-Szymanski, Yuan Liu, Masakazu Toi, Michael Gnant, Karsten Ernst Weber, Sibylle Loibl","Institute of Pathology, Philipps-University Marburg and University Hospital Marburg, Marburg, Germany, Medical Faculty Mannheim, Heidelberg University, University Hospital Mannheim, Mannheim, Germany, Instituto de Investigación Sanitaria Gregorio Marañón, CIBERONC, Universidad Complutense de Madrid. GEICAM Breast Cancer Group, Madrid, Spain, Helios Klinikum Berlin-Buch, Berlin, Germany, Institut Bergonié and Université de Bordeaux INSERM U916, Bordeaux, France, Roswell Park Comprehensive Cancer Center, Buffalo, NY, Cancer Research Institute, College of Medicine, Seoul National University Hospital, Seoul, South Korea, Abramson Cancer Center, University of Pennsylvania, Philadelphia, PA, University of California, San Francisco, San Francisco, CA, Breast Cancer Trials Australia and New Zealand and University of Queensland, Brisbane, Australia, Department of Medical Oncology, BC Cancer, Vancouver, BC, Canada, The Institue of Cancer Research, Royal Cancer Hospital, London, United Kingdom, Hospital Universitario Fundación Jiménez Díaz, Madrid, Spain, Erlangen University Hospital, Department of Gynecology and Obstetrics, Comprehensive Cancer Center Erlangen-EMN, Friedrich-Alexander University Erlangen-Nuremberg, Erlangen, Germany, Pfizer Inc, San Diego, CA, Department of Breast Surgery, Graduate School of Medicine, Kyoto University, Kyoto, Japan, Comprehensive Cancer Center, Medical University of Vienna, Vienna, Austria, German Breast Group, Neu-Isenburg, Germany","J Clin Oncol 39, 2021 (suppl 15; abstr 519)",,2021 ASCO Annual Meeting,Online Only,Pfizer.,Breast Cancer—Local/Regional/Adjuvant,Poster Discussion Session,Breast Cancer,Subgroup of post-neoadjuvant luminal-B tumors assessed by HTG in PENELOPE-B investigating palbociclib in high risk HER2-/HR+ breast cancer with residual disease.,Breast Cancer
10.1200/JCO.2021.39.15_suppl.5564,5564,"
  ,Background:, This is a prospective international Survey to evaluate the impact of the COVID-19 Pandemic on the management of patients with gynecological malignancies from the multidisciplinary physicians' perspective, with particular focus on clincial infrastructures, and trial participation. ,Methods:, The anonymous online survey consisted of 53 COVID-related questions. It was sent to all healthcare professionals in gynaecological oncology centres across Europe and the Pan-Arabian region from April 2020 to October 2020. All healthcare professionals treating women with gynecological cancers were able to participate in the survey. ,Results:, A total of 243 answers were collected from 30 different countries. The majority (73%) of participants were gynecological oncologists from university hospitals(71%) with at least an Intensive care unit with cardiopulmonary support available at their institutions. Most institutions continued to perform elective surgeries only for oncological cases (98%). Patients had to wait on average 2 weeks longer for their surgery appointments compared to previous years(range 0-12 weeks). Cases that were prioritised for surgical intervention across all tumors (Ovarian, Endometrium, Cervical) were early stage disease (74%), primary situation (61%), and good ECOG status (63%). The radicality of surgery did not change in the majority of cases (78%) across all tumor types. During the pandemic, only 38% of clinicians stated they would start a new clinical trial. 45% stated the pandemic has negatively impacted the financial structure and support for clinical trials. 79% do not routinely screen patients included in trials for SARS CoV2. Overall, approx. 20% of clinicians did not feel well informed regarding clinical pathways for COVID-19 patients throughout the pandemic. The majority preferred regular updates and training via Webinars (75%), followed by tumorboards and interdisciplinary conferences (45%). 30% of clinicians stated that they are currently experiencing difficulties in providing adequate medical care due to staff shortage. ,Conclusions:, Despite well-established guidelines for patient care and performing clinical trials in gynecological oncology, the COVID-19 pandemic has impacted clinical research, and financial structures. Longer waiting times for operative interventions, less support for clinical trials and concerns regarding provision of adequate medical care and triaging patients are very real. This survey underlines the necessity for building robust emergency algorithms tailored to gynecological oncology patients in the future.","Sara Nasser, Christina Fotopoulou, Murat Guktekin, Desislava Dimitrova, Philippe Morice, Jalid Sehouli","North-Eastern German Society of Gynecological Oncology (NOGGO) and Department of Gynecology with Center for Oncological Surgery, Charité–University Medicine of Berlin, Campus Virchow Klinikum, Berlin, Germany, Imperial College London, London, United Kingdom, Division of Gynecologic Oncology, Hacettepe University Faculty of Medicine, Ankara, Turkey, Department of Surgery, Gustave Roussy Cancer Centre, Villejuif, France","J Clin Oncol 39, 2021 (suppl 15; abstr 5564)",,2021 ASCO Annual Meeting,Online Only,None,Gynecologic Cancer,Poster Session,Gynecologic Cancer,Patient care and clinical trials in gynecological oncology: Implications of the COVID-19 pandemic.,Gynecologic Cancer
,,,,,,,2021 ASCO Annual Meeting,,,Achieving Equity in Cancer Care for Adolescents and Young Adults,Education Session,,Fertility Preservation: Best Practices in AYA Oncology,"Pediatric Oncology,Clinical Trials,Disparities/Health Equity,Care Delivery and Regulatory Policy,Symptoms and Survivorship"
,,,,,,,2021 ASCO Annual Meeting,,,The Controversies of Adjuvant Therapies for Premenopausal Women Diagnosed With Luminal Breast Cancers,Education Session,,Balancing Adherence and Quality of Life While Taking Endocrine Therapy,"Breast Cancer,Symptoms and Survivorship"
